Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:51.344000,111.344,,0 days 00:00:29.908000,0 days 00:00:47.019000,MEDIUM,1.0,1.0,,,1.0,False,124
NOR,4,McLaren,1.0,0 days 00:01:53.635000,113.635,,0 days 00:00:31.553000,0 days 00:00:46.998000,MEDIUM,1.0,1.0,,,2.0,False,124
RUS,63,Mercedes,1.0,0 days 00:01:55.631000,115.631,,0 days 00:00:35.146000,0 days 00:00:45.047000,MEDIUM,2.0,1.0,,,3.0,False,124
LEC,16,Ferrari,1.0,0 days 00:01:57.439000,117.439,,0 days 00:00:38.757000,0 days 00:00:42.509000,MEDIUM,2.0,1.0,,,4.0,False,124
PIA,81,McLaren,1.0,0 days 00:01:58.513000,118.513,,0 days 00:00:40.081000,0 days 00:00:41.779000,MEDIUM,1.0,1.0,,,5.0,False,124
SAI,55,Ferrari,1.0,0 days 00:01:59.394000,119.394,,0 days 00:00:41.664000,0 days 00:00:40.914000,MEDIUM,2.0,1.0,,,6.0,False,124
PER,11,Red Bull Racing,1.0,0 days 00:02:00.204000,120.204,,0 days 00:00:42.560000,0 days 00:00:40.288000,MEDIUM,1.0,1.0,,,7.0,False,124
ALO,14,Aston Martin,1.0,0 days 00:02:03.172000,123.172,,0 days 00:00:43.423000,0 days 00:00:41.864000,MEDIUM,1.0,1.0,,,8.0,False,124
HAM,44,Mercedes,1.0,0 days 00:02:04.279000,124.279,,0 days 00:00:46.494000,0 days 00:00:39.496000,MEDIUM,1.0,1.0,,,9.0,False,124
TSU,22,RB,1.0,0 days 00:02:07.750000,127.75,,0 days 00:00:48.859000,0 days 00:00:40.326000,MEDIUM,1.0,1.0,,,10.0,False,124
MAG,20,Haas F1 Team,1.0,0 days 00:02:09.920000,129.92,,0 days 00:00:49.468000,0 days 00:00:41.810000,MEDIUM,1.0,1.0,,,11.0,False,124
GAS,10,Alpine,1.0,0 days 00:02:10.912000,130.912,,0 days 00:00:49.614000,0 days 00:00:42.077000,MEDIUM,1.0,1.0,,,12.0,False,124
BOT,77,Kick Sauber,1.0,0 days 00:02:12.082000,132.082,,0 days 00:00:51.555000,0 days 00:00:41.613000,MEDIUM,1.0,1.0,,,13.0,False,124
LAW,30,RB,1.0,0 days 00:02:13.331000,133.331,,0 days 00:00:51.884000,0 days 00:00:42.056000,MEDIUM,1.0,1.0,,,14.0,False,124
ZHO,24,Kick Sauber,1.0,0 days 00:02:14.044000,134.044,,0 days 00:00:50.928000,0 days 00:00:40.013000,MEDIUM,1.0,1.0,,,15.0,False,124
ALB,23,Williams,1.0,0 days 00:02:15.384000,135.384,,0 days 00:00:52.800000,0 days 00:00:37.468000,MEDIUM,1.0,1.0,,,16.0,False,124
STR,18,Aston Martin,1.0,0 days 00:02:16.793000,136.793,,0 days 00:00:51.899000,0 days 00:00:41.483000,MEDIUM,1.0,1.0,,0 days 00:57:02.890000,17.0,False,124
HUL,27,Haas F1 Team,1.0,0 days 00:02:45.271000,165.271,,0 days 00:00:45.701000,0 days 00:00:56.009000,HARD,1.0,1.0,,0 days 00:57:31.321000,18.0,False,124
VER,1,Red Bull Racing,2.0,0 days 00:02:21.257000,141.257,0 days 00:00:55.914000,0 days 00:00:43.653000,0 days 00:00:41.690000,MEDIUM,2.0,1.0,,,1.0,True,4
NOR,4,McLaren,2.0,0 days 00:02:21.280000,141.28,0 days 00:00:55.171000,0 days 00:00:43.196000,0 days 00:00:42.913000,MEDIUM,2.0,1.0,,,2.0,True,4
RUS,63,Mercedes,2.0,0 days 00:02:21.375000,141.375,0 days 00:00:54.918000,0 days 00:00:43.501000,0 days 00:00:42.956000,MEDIUM,3.0,1.0,,,3.0,True,4
LEC,16,Ferrari,2.0,0 days 00:02:22.075000,142.075,0 days 00:00:54.070000,0 days 00:00:43.798000,0 days 00:00:44.207000,MEDIUM,3.0,1.0,,,4.0,True,4
PIA,81,McLaren,2.0,0 days 00:02:22.913000,142.913,0 days 00:00:53.604000,0 days 00:00:44.960000,0 days 00:00:44.349000,MEDIUM,2.0,1.0,,,5.0,True,4
SAI,55,Ferrari,2.0,0 days 00:02:23.307000,143.307,0 days 00:00:53.921000,0 days 00:00:45.223000,0 days 00:00:44.163000,MEDIUM,3.0,1.0,,,6.0,True,4
PER,11,Red Bull Racing,2.0,0 days 00:02:23.708000,143.708,0 days 00:00:53.741000,0 days 00:00:45.239000,0 days 00:00:44.728000,MEDIUM,2.0,1.0,,,7.0,True,4
ALO,14,Aston Martin,2.0,0 days 00:02:22.483000,142.483,0 days 00:00:52.172000,0 days 00:00:45.263000,0 days 00:00:45.048000,MEDIUM,2.0,1.0,,,8.0,True,4
HAM,44,Mercedes,2.0,0 days 00:02:24.030000,144.03,0 days 00:00:51.611000,0 days 00:00:47.411000,0 days 00:00:45.008000,MEDIUM,2.0,1.0,,,9.0,True,4
TSU,22,RB,2.0,0 days 00:02:23.351000,143.351,0 days 00:00:51.071000,0 days 00:00:47.577000,0 days 00:00:44.703000,MEDIUM,2.0,1.0,,,10.0,True,4
MAG,20,Haas F1 Team,2.0,0 days 00:02:23.343000,143.343,0 days 00:00:52.175000,0 days 00:00:45.605000,0 days 00:00:45.563000,MEDIUM,2.0,1.0,,,11.0,True,4
GAS,10,Alpine,2.0,0 days 00:02:23.807000,143.807,0 days 00:00:51.905000,0 days 00:00:45.644000,0 days 00:00:46.258000,MEDIUM,2.0,1.0,,,12.0,True,4
BOT,77,Kick Sauber,2.0,0 days 00:02:24.412000,144.412,0 days 00:00:52.671000,0 days 00:00:45.267000,0 days 00:00:46.474000,MEDIUM,2.0,1.0,,,13.0,True,4
LAW,30,RB,2.0,0 days 00:02:25.297000,145.297,0 days 00:00:52.159000,0 days 00:00:46.253000,0 days 00:00:46.885000,MEDIUM,2.0,1.0,,,14.0,True,4
ZHO,24,Kick Sauber,2.0,0 days 00:02:25.861000,145.861,0 days 00:00:52.610000,0 days 00:00:46.103000,0 days 00:00:47.148000,MEDIUM,2.0,1.0,,,15.0,True,4
ALB,23,Williams,2.0,0 days 00:02:26.296000,146.296,0 days 00:00:52.552000,0 days 00:00:45.611000,0 days 00:00:48.133000,MEDIUM,2.0,1.0,,,16.0,True,4
STR,18,Aston Martin,2.0,0 days 00:02:27.099000,147.099,0 days 00:01:04.417000,0 days 00:00:34.856000,0 days 00:00:47.826000,HARD,1.0,2.0,0 days 00:57:32.766000,,17.0,False,4
HUL,27,Haas F1 Team,2.0,0 days 00:02:07.072000,127.072,0 days 00:01:06.748000,0 days 00:00:31.654000,0 days 00:00:28.670000,HARD,1.0,2.0,0 days 00:58:04.313000,,18.0,False,4
VER,1,Red Bull Racing,3.0,0 days 00:02:17.390000,137.39,0 days 00:00:51.955000,0 days 00:00:42.864000,0 days 00:00:42.571000,MEDIUM,3.0,1.0,,,1.0,True,4
NOR,4,McLaren,3.0,0 days 00:02:17.622000,137.622,0 days 00:00:50.544000,0 days 00:00:42.564000,0 days 00:00:44.514000,MEDIUM,3.0,1.0,,,2.0,True,4
RUS,63,Mercedes,3.0,0 days 00:02:17.726000,137.726,0 days 00:00:50.889000,0 days 00:00:42.080000,0 days 00:00:44.757000,MEDIUM,4.0,1.0,,,3.0,True,4
LEC,16,Ferrari,3.0,0 days 00:02:17.488000,137.488,0 days 00:00:50.121000,0 days 00:00:41.569000,0 days 00:00:45.798000,MEDIUM,4.0,1.0,,,4.0,True,4
PIA,81,McLaren,3.0,0 days 00:02:17.707000,137.707,0 days 00:00:49.601000,0 days 00:00:41.016000,0 days 00:00:47.090000,MEDIUM,3.0,1.0,,,5.0,True,4
SAI,55,Ferrari,3.0,0 days 00:02:17.994000,137.994,0 days 00:00:49.393000,0 days 00:00:41.451000,0 days 00:00:47.150000,MEDIUM,4.0,1.0,,,6.0,True,4
PER,11,Red Bull Racing,3.0,0 days 00:02:18.267000,138.267,0 days 00:00:49.406000,0 days 00:00:42.649000,0 days 00:00:46.212000,MEDIUM,3.0,1.0,,,7.0,True,4
ALO,14,Aston Martin,3.0,0 days 00:02:18.215000,138.215,0 days 00:00:49.190000,0 days 00:00:42.378000,0 days 00:00:46.647000,MEDIUM,3.0,1.0,,,8.0,True,4
HAM,44,Mercedes,3.0,0 days 00:02:18.930000,138.93,0 days 00:00:48.143000,0 days 00:00:42.042000,0 days 00:00:48.745000,MEDIUM,3.0,1.0,,,9.0,True,4
TSU,22,RB,3.0,0 days 00:02:18.497000,138.497,0 days 00:00:47.859000,0 days 00:00:42.325000,0 days 00:00:48.313000,MEDIUM,3.0,1.0,,,10.0,True,4
MAG,20,Haas F1 Team,3.0,0 days 00:02:18.697000,138.697,0 days 00:00:47.731000,0 days 00:00:42.078000,0 days 00:00:48.888000,MEDIUM,3.0,1.0,,,11.0,True,4
GAS,10,Alpine,3.0,0 days 00:02:19.509000,139.509,0 days 00:00:47.334000,0 days 00:00:42.604000,0 days 00:00:49.571000,MEDIUM,3.0,1.0,,,12.0,True,4
BOT,77,Kick Sauber,3.0,0 days 00:02:18.818000,138.818,0 days 00:00:46.965000,0 days 00:00:42.727000,0 days 00:00:49.126000,MEDIUM,3.0,1.0,,,13.0,True,4
LAW,30,RB,3.0,0 days 00:02:18.396000,138.396,0 days 00:00:46.035000,0 days 00:00:43.084000,0 days 00:00:49.277000,MEDIUM,3.0,1.0,,,14.0,True,4
ZHO,24,Kick Sauber,3.0,0 days 00:02:18.331000,138.331,0 days 00:00:46.014000,0 days 00:00:43.116000,0 days 00:00:49.201000,MEDIUM,3.0,1.0,,,15.0,True,4
ALB,23,Williams,3.0,0 days 00:02:17.470000,137.47,0 days 00:00:44.799000,0 days 00:00:43.538000,0 days 00:00:49.133000,MEDIUM,3.0,1.0,,,16.0,True,4
STR,18,Aston Martin,3.0,0 days 00:02:16.920000,136.92,0 days 00:00:44.903000,0 days 00:00:42.636000,0 days 00:00:49.381000,HARD,2.0,2.0,,,17.0,True,4
HUL,27,Haas F1 Team,3.0,0 days 00:02:11.639000,131.639,0 days 00:00:37.621000,0 days 00:00:42.994000,0 days 00:00:51.024000,HARD,2.0,2.0,,,18.0,True,4
RUS,63,Mercedes,4.0,0 days 00:02:29.191000,149.191,0 days 00:00:46.522000,0 days 00:00:42.581000,0 days 00:01:00.088000,MEDIUM,5.0,1.0,,,3.0,False,41
LEC,16,Ferrari,4.0,0 days 00:02:27.558000,147.558,0 days 00:00:45.627000,0 days 00:00:42.117000,0 days 00:00:59.814000,MEDIUM,5.0,1.0,,,4.0,False,41
PIA,81,McLaren,4.0,0 days 00:02:25.626000,145.626,0 days 00:00:45.489000,0 days 00:00:41.218000,0 days 00:00:58.919000,MEDIUM,4.0,1.0,,,5.0,False,41
SAI,55,Ferrari,4.0,0 days 00:02:24.487000,144.487,0 days 00:00:44.971000,0 days 00:00:41.855000,0 days 00:00:57.661000,MEDIUM,5.0,1.0,,,6.0,False,41
PER,11,Red Bull Racing,4.0,0 days 00:02:23.573000,143.573,0 days 00:00:45.073000,0 days 00:00:41.641000,0 days 00:00:56.859000,MEDIUM,4.0,1.0,,,7.0,False,41
ALO,14,Aston Martin,4.0,0 days 00:02:22.341000,142.341,0 days 00:00:44.850000,0 days 00:00:41.302000,0 days 00:00:56.189000,MEDIUM,4.0,1.0,,,8.0,False,41
HAM,44,Mercedes,4.0,0 days 00:02:19.017000,139.017,0 days 00:00:42.839000,0 days 00:00:41.547000,0 days 00:00:54.631000,MEDIUM,4.0,1.0,,,9.0,False,41
TSU,22,RB,4.0,0 days 00:02:16.969000,136.969,0 days 00:00:42.169000,0 days 00:00:42.128000,0 days 00:00:52.672000,MEDIUM,4.0,1.0,,,10.0,True,41
MAG,20,Haas F1 Team,4.0,0 days 00:02:14.923000,134.923,0 days 00:00:42.035000,0 days 00:00:40.226000,0 days 00:00:52.662000,MEDIUM,4.0,1.0,,,11.0,True,41
GAS,10,Alpine,4.0,0 days 00:02:13.088000,133.088,0 days 00:00:40.906000,0 days 00:00:40.187000,0 days 00:00:51.995000,MEDIUM,4.0,1.0,,,12.0,True,41
BOT,77,Kick Sauber,4.0,0 days 00:02:12.447000,132.447,0 days 00:00:41.084000,0 days 00:00:39.977000,0 days 00:00:51.386000,MEDIUM,4.0,1.0,,,13.0,True,41
LAW,30,RB,4.0,0 days 00:02:10.850000,130.85,0 days 00:00:40.258000,0 days 00:00:40.332000,0 days 00:00:50.260000,MEDIUM,4.0,1.0,,,14.0,True,41
ZHO,24,Kick Sauber,4.0,0 days 00:02:10.295000,130.295,0 days 00:00:40.445000,0 days 00:00:39.521000,0 days 00:00:50.329000,MEDIUM,4.0,1.0,,,15.0,True,41
ALB,23,Williams,4.0,0 days 00:02:09.827000,129.827,0 days 00:00:40.208000,0 days 00:00:40.041000,0 days 00:00:49.578000,MEDIUM,4.0,1.0,,,16.0,True,41
STR,18,Aston Martin,4.0,0 days 00:02:09.100000,129.1,0 days 00:00:40.803000,0 days 00:00:39.847000,0 days 00:00:48.450000,HARD,3.0,2.0,,,17.0,True,41
HUL,27,Haas F1 Team,4.0,0 days 00:02:06.080000,126.08,0 days 00:00:40.426000,0 days 00:00:38.518000,0 days 00:00:47.136000,HARD,3.0,2.0,,,18.0,True,41
VER,1,Red Bull Racing,5.0,0 days 00:01:26.724000,86.724,0 days 00:00:32.248000,0 days 00:00:29.054000,0 days 00:00:25.422000,MEDIUM,5.0,1.0,,,1.0,True,12
NOR,4,McLaren,5.0,0 days 00:01:27.175000,87.175,0 days 00:00:32.606000,0 days 00:00:29.194000,0 days 00:00:25.375000,MEDIUM,5.0,1.0,,,2.0,True,12
RUS,63,Mercedes,5.0,0 days 00:01:27.948000,87.948,0 days 00:00:32.967000,0 days 00:00:29.545000,0 days 00:00:25.436000,MEDIUM,6.0,1.0,,,3.0,True,12
PIA,81,McLaren,5.0,0 days 00:01:27.603000,87.603,0 days 00:00:32.822000,0 days 00:00:29.372000,0 days 00:00:25.409000,MEDIUM,5.0,1.0,,,4.0,True,12
LEC,16,Ferrari,5.0,0 days 00:01:29.202000,89.202,0 days 00:00:33.653000,0 days 00:00:29.814000,0 days 00:00:25.735000,MEDIUM,6.0,1.0,,,5.0,True,12
SAI,55,Ferrari,5.0,0 days 00:01:29.355000,89.355,0 days 00:00:33.498000,0 days 00:00:29.982000,0 days 00:00:25.875000,MEDIUM,6.0,1.0,,,6.0,True,12
PER,11,Red Bull Racing,5.0,0 days 00:01:29.550000,89.55,0 days 00:00:33.672000,0 days 00:00:29.885000,0 days 00:00:25.993000,MEDIUM,5.0,1.0,,,7.0,True,12
HAM,44,Mercedes,5.0,0 days 00:01:29.473000,89.473,0 days 00:00:33.659000,0 days 00:00:29.868000,0 days 00:00:25.946000,MEDIUM,5.0,1.0,,,8.0,True,12
TSU,22,RB,5.0,0 days 00:01:30.040000,90.04,0 days 00:00:33.793000,0 days 00:00:30.102000,0 days 00:00:26.145000,MEDIUM,5.0,1.0,,,9.0,True,12
MAG,20,Haas F1 Team,5.0,0 days 00:01:30.890000,90.89,0 days 00:00:34.322000,0 days 00:00:30.270000,0 days 00:00:26.298000,MEDIUM,5.0,1.0,,,10.0,True,12
ALO,14,Aston Martin,5.0,0 days 00:01:32.386000,92.386,0 days 00:00:34.531000,0 days 00:00:30.144000,0 days 00:00:27.711000,MEDIUM,5.0,1.0,,,11.0,True,12
GAS,10,Alpine,5.0,0 days 00:01:31.425000,91.425,0 days 00:00:34.282000,0 days 00:00:30.330000,0 days 00:00:26.813000,MEDIUM,5.0,1.0,,,12.0,True,12
ZHO,24,Kick Sauber,5.0,0 days 00:01:30.517000,90.517,0 days 00:00:33.499000,0 days 00:00:30.341000,0 days 00:00:26.677000,MEDIUM,5.0,1.0,,,13.0,True,12
BOT,77,Kick Sauber,5.0,0 days 00:01:32.024000,92.024,0 days 00:00:35.119000,0 days 00:00:30.124000,0 days 00:00:26.781000,MEDIUM,5.0,1.0,,,14.0,True,12
ALB,23,Williams,5.0,0 days 00:01:31.146000,91.146,0 days 00:00:34.065000,0 days 00:00:30.574000,0 days 00:00:26.507000,MEDIUM,5.0,1.0,,,15.0,True,12
HUL,27,Haas F1 Team,5.0,0 days 00:01:31.557000,91.557,0 days 00:00:33.581000,0 days 00:00:30.913000,0 days 00:00:27.063000,HARD,4.0,2.0,,,16.0,True,12
STR,18,Aston Martin,5.0,0 days 00:01:33.523000,93.523,0 days 00:00:36.050000,0 days 00:00:30.574000,0 days 00:00:26.899000,HARD,4.0,2.0,,,17.0,True,12
LAW,30,RB,5.0,0 days 00:01:37.350000,97.35,0 days 00:00:41.409000,0 days 00:00:30.011000,0 days 00:00:25.930000,MEDIUM,5.0,1.0,,,18.0,True,12
VER,1,Red Bull Racing,6.0,0 days 00:01:26.502000,86.502,0 days 00:00:32.141000,0 days 00:00:29.044000,0 days 00:00:25.317000,MEDIUM,6.0,1.0,,,1.0,True,1
NOR,4,McLaren,6.0,0 days 00:01:26.683000,86.683,0 days 00:00:32.328000,0 days 00:00:29.196000,0 days 00:00:25.159000,MEDIUM,6.0,1.0,,,2.0,True,1
RUS,63,Mercedes,6.0,0 days 00:01:26.797000,86.797,0 days 00:00:32.451000,0 days 00:00:29.125000,0 days 00:00:25.221000,MEDIUM,7.0,1.0,,,3.0,True,1
PIA,81,McLaren,6.0,0 days 00:01:27.020000,87.02,0 days 00:00:32.629000,0 days 00:00:29.384000,0 days 00:00:25.007000,MEDIUM,6.0,1.0,,,4.0,True,1
LEC,16,Ferrari,6.0,0 days 00:01:27.556000,87.556,0 days 00:00:32.560000,0 days 00:00:29.402000,0 days 00:00:25.594000,MEDIUM,7.0,1.0,,,5.0,True,1
SAI,55,Ferrari,6.0,0 days 00:01:27.634000,87.634,0 days 00:00:32.591000,0 days 00:00:29.395000,0 days 00:00:25.648000,MEDIUM,7.0,1.0,,,6.0,True,1
PER,11,Red Bull Racing,6.0,0 days 00:01:27.827000,87.827,0 days 00:00:32.778000,0 days 00:00:29.661000,0 days 00:00:25.388000,MEDIUM,6.0,1.0,,,7.0,True,1
HAM,44,Mercedes,6.0,0 days 00:01:28.084000,88.084,0 days 00:00:32.970000,0 days 00:00:29.682000,0 days 00:00:25.432000,MEDIUM,6.0,1.0,,,8.0,True,1
TSU,22,RB,6.0,0 days 00:01:28.679000,88.679,0 days 00:00:33.185000,0 days 00:00:29.780000,0 days 00:00:25.714000,MEDIUM,6.0,1.0,,,9.0,True,1
MAG,20,Haas F1 Team,6.0,0 days 00:01:28.533000,88.533,0 days 00:00:33.022000,0 days 00:00:29.650000,0 days 00:00:25.861000,MEDIUM,6.0,1.0,,,10.0,True,1
GAS,10,Alpine,6.0,0 days 00:01:28.418000,88.418,0 days 00:00:32.726000,0 days 00:00:29.765000,0 days 00:00:25.927000,MEDIUM,6.0,1.0,,,11.0,True,1
ALO,14,Aston Martin,6.0,0 days 00:01:29.044000,89.044,0 days 00:00:33.264000,0 days 00:00:29.934000,0 days 00:00:25.846000,MEDIUM,6.0,1.0,,,12.0,True,1
ZHO,24,Kick Sauber,6.0,0 days 00:01:29.258000,89.258,0 days 00:00:33.397000,0 days 00:00:29.958000,0 days 00:00:25.903000,MEDIUM,6.0,1.0,,,13.0,True,1
BOT,77,Kick Sauber,6.0,0 days 00:01:29.400000,89.4,0 days 00:00:33.365000,0 days 00:00:29.917000,0 days 00:00:26.118000,MEDIUM,6.0,1.0,,,14.0,True,1
ALB,23,Williams,6.0,0 days 00:01:29.921000,89.921,0 days 00:00:33.650000,0 days 00:00:30.128000,0 days 00:00:26.143000,MEDIUM,6.0,1.0,,,15.0,True,1
HUL,27,Haas F1 Team,6.0,0 days 00:01:30.682000,90.682,0 days 00:00:33.505000,0 days 00:00:30.461000,0 days 00:00:26.716000,HARD,5.0,2.0,,,16.0,True,1
STR,18,Aston Martin,6.0,0 days 00:01:30.935000,90.935,0 days 00:00:34.100000,0 days 00:00:30.223000,0 days 00:00:26.612000,HARD,5.0,2.0,,,17.0,True,1
LAW,30,RB,6.0,0 days 00:01:29.548000,89.548,0 days 00:00:32.871000,0 days 00:00:30.222000,0 days 00:00:26.455000,MEDIUM,6.0,1.0,,,18.0,True,1
VER,1,Red Bull Racing,7.0,0 days 00:01:26.376000,86.376,0 days 00:00:32.062000,0 days 00:00:28.973000,0 days 00:00:25.341000,MEDIUM,7.0,1.0,,,1.0,True,1
NOR,4,McLaren,7.0,0 days 00:01:26.500000,86.5,0 days 00:00:32.222000,0 days 00:00:29.139000,0 days 00:00:25.139000,MEDIUM,7.0,1.0,,,2.0,True,1
RUS,63,Mercedes,7.0,0 days 00:01:26.561000,86.561,0 days 00:00:32.284000,0 days 00:00:29.243000,0 days 00:00:25.034000,MEDIUM,8.0,1.0,,,3.0,True,1
PIA,81,McLaren,7.0,0 days 00:01:26.851000,86.851,0 days 00:00:32.470000,0 days 00:00:29.302000,0 days 00:00:25.079000,MEDIUM,7.0,1.0,,,4.0,True,1
LEC,16,Ferrari,7.0,0 days 00:01:26.887000,86.887,0 days 00:00:32.159000,0 days 00:00:29.388000,0 days 00:00:25.340000,MEDIUM,8.0,1.0,,,5.0,True,1
SAI,55,Ferrari,7.0,0 days 00:01:27.189000,87.189,0 days 00:00:32.244000,0 days 00:00:29.346000,0 days 00:00:25.599000,MEDIUM,8.0,1.0,,,6.0,True,1
PER,11,Red Bull Racing,7.0,0 days 00:01:27.280000,87.28,0 days 00:00:32.316000,0 days 00:00:29.518000,0 days 00:00:25.446000,MEDIUM,7.0,1.0,,,7.0,True,1
HAM,44,Mercedes,7.0,0 days 00:01:27.872000,87.872,0 days 00:00:32.693000,0 days 00:00:29.580000,0 days 00:00:25.599000,MEDIUM,7.0,1.0,,,8.0,True,1
TSU,22,RB,7.0,0 days 00:01:28.217000,88.217,0 days 00:00:32.728000,0 days 00:00:29.707000,0 days 00:00:25.782000,MEDIUM,7.0,1.0,,,9.0,True,1
MAG,20,Haas F1 Team,7.0,0 days 00:01:28.075000,88.075,0 days 00:00:32.646000,0 days 00:00:29.479000,0 days 00:00:25.950000,MEDIUM,7.0,1.0,,,10.0,True,1
GAS,10,Alpine,7.0,0 days 00:01:27.738000,87.738,0 days 00:00:32.521000,0 days 00:00:29.453000,0 days 00:00:25.764000,MEDIUM,7.0,1.0,,,11.0,True,1
ALO,14,Aston Martin,7.0,0 days 00:01:28.057000,88.057,0 days 00:00:32.520000,0 days 00:00:29.757000,0 days 00:00:25.780000,MEDIUM,7.0,1.0,,,12.0,True,1
ZHO,24,Kick Sauber,7.0,0 days 00:01:28.056000,88.056,0 days 00:00:32.625000,0 days 00:00:29.704000,0 days 00:00:25.727000,MEDIUM,7.0,1.0,,,13.0,True,1
BOT,77,Kick Sauber,7.0,0 days 00:01:28.250000,88.25,0 days 00:00:32.623000,0 days 00:00:29.687000,0 days 00:00:25.940000,MEDIUM,7.0,1.0,,,14.0,True,1
ALB,23,Williams,7.0,0 days 00:01:28.528000,88.528,0 days 00:00:32.674000,0 days 00:00:29.779000,0 days 00:00:26.075000,MEDIUM,7.0,1.0,,,15.0,True,1
HUL,27,Haas F1 Team,7.0,0 days 00:01:28.652000,88.652,0 days 00:00:32.643000,0 days 00:00:29.827000,0 days 00:00:26.182000,HARD,6.0,2.0,,,16.0,True,1
LAW,30,RB,7.0,0 days 00:01:28.165000,88.165,0 days 00:00:32.572000,0 days 00:00:29.855000,0 days 00:00:25.738000,MEDIUM,7.0,1.0,,,17.0,True,1
STR,18,Aston Martin,7.0,0 days 00:01:36.330000,96.33,0 days 00:00:34.402000,0 days 00:00:30.300000,0 days 00:00:31.628000,HARD,6.0,2.0,,0 days 01:08:36.798000,18.0,False,1
VER,1,Red Bull Racing,8.0,0 days 00:01:26.280000,86.28,0 days 00:00:32.029000,0 days 00:00:29.033000,0 days 00:00:25.218000,MEDIUM,8.0,1.0,,,1.0,True,1
NOR,4,McLaren,8.0,0 days 00:01:26.668000,86.668,0 days 00:00:32.481000,0 days 00:00:29.203000,0 days 00:00:24.984000,MEDIUM,8.0,1.0,,,2.0,False,1
RUS,63,Mercedes,8.0,0 days 00:01:26.433000,86.433,0 days 00:00:32.234000,0 days 00:00:29.171000,0 days 00:00:25.028000,MEDIUM,9.0,1.0,,,3.0,True,1
PIA,81,McLaren,8.0,0 days 00:01:26.322000,86.322,0 days 00:00:32.043000,0 days 00:00:29.380000,0 days 00:00:24.899000,MEDIUM,8.0,1.0,,,4.0,True,1
LEC,16,Ferrari,8.0,0 days 00:01:27.190000,87.19,0 days 00:00:32.330000,0 days 00:00:29.473000,0 days 00:00:25.387000,MEDIUM,9.0,1.0,,,5.0,False,1
SAI,55,Ferrari,8.0,0 days 00:01:27.142000,87.142,0 days 00:00:32.107000,0 days 00:00:29.580000,0 days 00:00:25.455000,MEDIUM,9.0,1.0,,,6.0,True,1
PER,11,Red Bull Racing,8.0,0 days 00:01:27.403000,87.403,0 days 00:00:32.519000,0 days 00:00:29.637000,0 days 00:00:25.247000,MEDIUM,8.0,1.0,,,7.0,False,1
HAM,44,Mercedes,8.0,0 days 00:01:27.043000,87.043,0 days 00:00:32.433000,0 days 00:00:29.315000,0 days 00:00:25.295000,MEDIUM,8.0,1.0,,,8.0,True,1
TSU,22,RB,8.0,0 days 00:01:27.737000,87.737,0 days 00:00:32.831000,0 days 00:00:29.455000,0 days 00:00:25.451000,MEDIUM,8.0,1.0,,,9.0,True,1
MAG,20,Haas F1 Team,8.0,0 days 00:01:27.707000,87.707,0 days 00:00:32.541000,0 days 00:00:29.516000,0 days 00:00:25.650000,MEDIUM,8.0,1.0,,,10.0,True,1
GAS,10,Alpine,8.0,0 days 00:01:27.881000,87.881,0 days 00:00:32.603000,0 days 00:00:29.575000,0 days 00:00:25.703000,MEDIUM,8.0,1.0,,,11.0,False,1
ALO,14,Aston Martin,8.0,0 days 00:01:28.028000,88.028,0 days 00:00:32.494000,0 days 00:00:29.736000,0 days 00:00:25.798000,MEDIUM,8.0,1.0,,,12.0,True,1
ZHO,24,Kick Sauber,8.0,0 days 00:01:28.369000,88.369,0 days 00:00:32.515000,0 days 00:00:29.871000,0 days 00:00:25.983000,MEDIUM,8.0,1.0,,,13.0,False,1
BOT,77,Kick Sauber,8.0,0 days 00:01:28.501000,88.501,0 days 00:00:32.733000,0 days 00:00:29.804000,0 days 00:00:25.964000,MEDIUM,8.0,1.0,,,14.0,False,1
ALB,23,Williams,8.0,0 days 00:01:28.499000,88.499,0 days 00:00:32.960000,0 days 00:00:29.674000,0 days 00:00:25.865000,MEDIUM,8.0,1.0,,,15.0,True,1
HUL,27,Haas F1 Team,8.0,0 days 00:01:28.418000,88.418,0 days 00:00:32.502000,0 days 00:00:29.712000,0 days 00:00:26.204000,HARD,7.0,2.0,,,16.0,True,1
LAW,30,RB,8.0,0 days 00:01:28.159000,88.159,0 days 00:00:32.805000,0 days 00:00:29.730000,0 days 00:00:25.624000,MEDIUM,8.0,1.0,,,17.0,True,1
STR,18,Aston Martin,8.0,0 days 00:02:20.862000,140.862,0 days 00:01:11.374000,0 days 00:00:32.672000,0 days 00:00:36.816000,HARD,1.0,3.0,0 days 01:09:18.818000,0 days 01:10:57.663000,18.0,False,1
VER,1,Red Bull Racing,9.0,0 days 00:01:26.200000,86.2,0 days 00:00:31.963000,0 days 00:00:29.032000,0 days 00:00:25.205000,MEDIUM,9.0,1.0,,,1.0,True,1
NOR,4,McLaren,9.0,0 days 00:01:26.344000,86.344,0 days 00:00:32.214000,0 days 00:00:29.119000,0 days 00:00:25.011000,MEDIUM,9.0,1.0,,,2.0,True,1
